Transaction ID,Transaction Date,Transaction TypeID,Transaction Amount,New Balance,Employee ID,Account ID,Customer ID,Login ID
209,01/03/2018,1,336035,4233434305,60976,2.56892E+11,2076,58000276
210,23/11/2019,6,847126,4371410378,72040,2.53189E+11,1075,6425272
211,01/11/2016,6,794045,1759398772,57989,3.38344E+11,2566,82484668
212,01/11/2020,14,501880,4740172988,86034,84244735718,3634,75972601
213,13/11/2016,1,290355,2679265666,12334,95104379753,3380,23184439
214,02/01/2017,3,687186,3944172627,77376,9.46433E+11,1206,56863447
215,28/12/2020,1,775666,3808426406,15086,8.85406E+11,875,58809538
216,10/11/2017,5,797001,4833860618,77562,1.23816E+11,2309,86714803
217,14/07/2017,10,984284,4111666984,22155,2.7062E+11,3263,92643782
218,25/10/2020,5,127024,3031980712,21794,3.20267E+11,1225,51713206
219,08/12/2015,6,630601,928361477,35307,4.50775E+11,159,84351900
220,12/02/2019,1,381717,1149890210,80991,3.31655E+11,1916,28369209
221,12/11/2016,11,239078,776949063,61225,8.69044E+11,5284,51534035
222,04/02/2015,13,98477,4945881945,36310,5.29967E+11,4890,97276113
223,30/10/2017,14,420922,4635295404,84229,7.10663E+11,2415,11109651
224,23/04/2016,14,288227,1535415431,25672,6.61048E+11,3157,31781409
225,02/05/2019,10,610635,2738731115,30923,8.47246E+11,572,31258461
226,07/12/2020,3,691186,4868025715,60474,3.75874E+11,4713,39838746
227,17/10/2017,14,486584,245421502,55359,3.90359E+11,5219,64834678
228,06/07/2020,10,695595,2279138132,72436,6.69611E+11,3537,35884495
229,28/03/2018,2,28282,1156768428,61402,3.93052E+11,3827,23270385
230,22/03/2019,12,490572,4938291023,95784,7.29057E+11,1065,42743050
231,28/09/2019,2,37885,4060373626,95411,5.57022E+11,1434,45185775
232,09/10/2016,2,813469,989493788,18135,8.69301E+11,3044,65392578
233,16/01/2018,11,786140,2257992411,43131,4.63244E+11,2576,71009458
234,09/08/2016,6,988948,1740910981,74249,2.66312E+11,5593,40406918
235,15/08/2018,3,926371,2377785482,89047,2.77655E+11,253,94196086
236,11/08/2015,8,274826,3356886001,52301,6.39803E+11,2593,76542935
237,09/09/2016,3,566759,459828324,13551,1.56879E+11,2370,16656436
238,07/02/2020,14,97128,4144254317,73281,9.57704E+11,3623,62438721
239,02/01/2016,4,503188,2428111582,96569,3.30225E+11,2097,15642566
240,27/10/2017,9,637885,2151400355,72066,7.23738E+11,2283,33207405
241,28/01/2015,3,783672,3934936283,61112,4.17793E+11,4080,72802667
242,14/01/2019,2,138891,2029446893,70841,7.7898E+11,258,34033559
243,11/07/2018,5,938790,2246324986,90045,48257866394,4596,15150613
244,08/01/2015,4,553705,3968050060,70478,5.40937E+11,611,47597309
245,05/11/2020,8,739287,2093540692,41425,1.74005E+11,38,96074507
246,03/10/2017,7,777049,2927315860,31401,1.46392E+11,825,39631325
247,24/01/2016,9,591915,4148461323,13519,9.04718E+11,4934,65150054
248,04/06/2020,5,487035,3847876544,42756,7.42098E+11,128,56414132
249,24/02/2015,5,664338,669224010,86279,2.74459E+11,3319,68255105
250,01/08/2020,10,523606,1953338551,26973,9.86758E+11,2892,21813412
251,16/06/2017,8,875896,2157671821,55699,5.43562E+11,5445,5563218
252,20/08/2018,10,75119,2684446480,46199,8.76142E+11,4278,12627930
253,25/04/2019,5,196561,1703368949,60490,9.40928E+11,999,42841673
254,16/03/2016,4,646131,2301358487,27192,6.82063E+11,4551,11489363
255,09/01/2019,7,676601,149650682,15876,5.31407E+11,3689,3438199
256,21/01/2020,8,967612,3012594426,16791,8.55216E+11,1070,201391
257,04/11/2016,6,221259,433100256,71025,6.68839E+11,5807,5480703
258,02/11/2020,11,883,1264270982,30604,9.15911E+11,4541,57541185
259,11/10/2019,14,35823,3401154878,34397,8.63572E+11,369,13785532
260,21/10/2019,10,726035,3881563060,52764,2.94673E+11,3894,67062690
261,17/10/2020,4,993474,4314234139,34384,7.98336E+11,4460,29887638
262,02/04/2015,3,552100,2767260267,14581,7.66064E+11,5420,16112611
263,18/01/2018,14,797165,126117550,72811,4.02254E+11,5933,85257928
264,21/05/2020,4,677226,4545327447,69957,8.49255E+11,1441,53157017
265,17/12/2016,11,430428,1703952600,89989,25247294233,3294,94713305
266,05/07/2015,1,839709,938108528,14612,1.30024E+11,430,98243000
267,29/05/2016,2,58011,1431723222,34559,5.96762E+11,2583,74558761
268,28/03/2018,5,403937,4187357665,72440,6.815E+11,3888,8771304
269,08/07/2019,1,404101,2696430730,22150,29710028479,5932,866223
270,29/12/2017,11,165963,4937715812,94703,7.6301E+11,1422,6613757
271,20/09/2017,8,188376,1940602574,23425,9.74268E+11,5101,51770189
272,17/10/2018,8,401697,1417028967,24776,5.21077E+11,164,19743840
273,11/07/2017,12,614951,1062833281,96575,5.9518E+11,673,2586707
274,19/08/2017,10,858083,3683262581,13832,3.74815E+11,3930,51061800
275,10/01/2018,7,878522,1902132342,35322,4.22638E+11,4758,98305311
276,09/12/2018,2,101174,1299128239,93324,2.38553E+11,2643,49939823
277,18/12/2020,13,984758,2694387259,70768,9.64034E+11,5492,31517290
278,16/06/2018,13,335391,54971429,41654,83968315448,1733,97660834
279,21/08/2018,5,463265,35364596,51095,3.01422E+11,1908,55620671
280,16/02/2020,1,858039,1954136273,87800,9.81749E+11,1572,10229690
281,04/12/2016,10,625366,3678391794,41100,2.66477E+11,769,32869554
282,06/02/2016,10,856236,2897358146,12376,7.88235E+11,423,50338975
283,07/06/2016,10,862077,958245035,18697,2.62459E+11,5338,21117554
284,23/07/2018,10,255414,1902907532,61674,2.18233E+11,5803,90714098
285,17/03/2019,6,74737,3913827116,70325,2.96468E+11,724,93650310
286,29/10/2020,11,484275,181010988,56857,7.74491E+11,4218,77739311
287,19/01/2016,6,72087,205088223,51036,9.0632E+11,5404,76786969
288,01/10/2020,14,814072,4802317120,61936,7.12136E+11,4227,66089061
289,15/11/2019,6,139592,4658781789,71465,7.55825E+11,5539,26267180
290,01/11/2020,12,728202,2292879200,94619,2.51998E+11,2050,89146322
291,23/05/2019,2,56813,3430397716,38316,4.72618E+11,2946,35811320
292,06/04/2015,8,995370,3428833287,78242,7.65178E+11,3757,25133744
293,06/11/2017,1,318544,3302177577,25735,5.34926E+11,4767,53543868
294,29/03/2017,2,638041,3160657203,15781,6.25407E+11,5994,90676215
295,18/10/2018,9,948844,935475492,92005,4.20535E+11,3559,67643660
296,25/10/2020,8,114897,4778100828,26450,5.8498E+11,4120,58049491
297,02/09/2017,4,616410,2258126230,46987,4.39088E+11,3668,81169775
298,14/02/2015,10,59958,1478083479,34480,5.91329E+11,697,33033100
299,24/02/2016,2,924916,1370457143,11607,5.6468E+11,4672,97485060
300,12/05/2017,6,462386,817817130,87081,2.3079E+11,3901,34666370
301,30/09/2017,11,773619,4353006152,19916,5.98067E+11,3873,17238987
302,08/10/2015,8,897321,4873758213,55395,7.86058E+11,5852,26536684
303,09/12/2015,8,966369,417493916,39324,8.34523E+11,4383,2596288
304,12/05/2019,8,790847,2740736301,67577,1.05514E+11,486,90901581
305,05/08/2015,14,261301,1304858442,73721,83559675258,1516,43451105
306,23/03/2018,4,555084,4464475824,17997,8.41652E+11,5676,4985007
307,22/04/2020,12,987580,3435363358,63792,2.45084E+11,4400,21432516
308,05/04/2020,13,7222,4610452976,77678,2.74855E+11,5683,57456842
309,21/07/2015,4,568203,2060871639,43173,8.37834E+11,3605,46523623
310,10/12/2016,5,721255,2148112948,87970,2.56556E+11,2439,80044659
311,09/05/2018,10,225168,2752781231,78414,5.00881E+11,4755,70768230
312,14/11/2015,14,713969,774517621,52645,75926617071,5211,13886580
313,20/11/2015,12,101442,3295874066,84744,5.57697E+11,133,37747812
314,26/04/2015,5,379559,2065774584,96770,6.54668E+11,3049,77225980
315,26/09/2016,2,539561,3963682897,18301,1.16457E+11,5401,81479454
316,06/02/2018,9,662532,3939777936,37922,9.63881E+11,2063,33318697
317,07/09/2020,5,615909,4980329654,80907,1.62407E+11,737,54067409
318,12/01/2015,1,278967,1511699083,54454,7.31291E+11,2739,75548542
319,11/10/2017,11,67095,1142603142,67975,9.85107E+11,3063,50872128
320,20/09/2020,14,263905,4463141439,96728,5.11854E+11,3000,19386795
321,03/09/2015,5,940008,2609153416,56015,1.82109E+11,1368,98596404
322,14/02/2016,6,616156,1928193744,50069,2.46952E+11,1207,93031146
323,13/08/2018,11,906308,1295343890,63568,1.97901E+11,5503,17113478
324,04/08/2020,1,414065,901235248,38210,3.09743E+11,4134,26167035
325,04/02/2020,12,17174,2104116348,12563,8.80703E+11,5043,54524482
326,16/10/2017,1,161700,3910103706,44290,8.47383E+11,4540,41172694
327,05/06/2015,8,581503,1827212226,14367,7.66014E+11,4852,59987716
328,21/10/2020,3,695441,3755028447,72502,9.52216E+11,5521,12262853
329,27/12/2016,7,802737,4269539690,82754,6.2912E+11,3792,82558867
330,20/03/2019,14,735717,2000741196,57961,9.98839E+11,4620,63128804
331,15/12/2020,13,728363,2184813895,16912,4.88429E+11,5701,94479756
332,09/04/2018,3,607563,2777724643,20765,9.13385E+11,927,57810749
333,17/01/2015,2,34873,742123616,41210,4.78267E+11,5227,45438326
334,05/09/2019,1,702037,4930811727,81274,3.43521E+11,203,72651008
335,25/09/2017,3,410763,1659340041,36575,1.68656E+11,265,12838676
336,04/08/2017,5,57837,4652951569,96233,1.38982E+11,5993,17366023
337,21/07/2016,10,467016,682296929,38359,8.41426E+11,3584,90162507
338,26/01/2015,13,808103,4461117066,18565,6.83919E+11,1234,20020290
339,02/04/2019,1,925235,1938390324,34397,4.75342E+11,4872,8381777
340,07/01/2015,7,930144,3820125104,15111,49196354631,1826,15204256
341,18/12/2020,6,577052,224482686,23955,2.13995E+11,5291,13377323
342,21/09/2018,1,152492,496052551,44284,7.98329E+11,479,62185796
343,15/01/2019,10,530496,4956950027,43960,2.11474E+11,487,22164216
344,09/06/2020,7,257590,1040407167,48248,9.25491E+11,5329,59546118
345,01/06/2018,14,445759,1420653906,10520,2.287E+11,2870,65556025
346,07/10/2018,10,19593,3099021598,27358,7.55673E+11,3040,64868771
347,02/03/2017,14,19426,4472232798,86189,1.85867E+11,2067,78918609
348,21/07/2016,7,693769,1348784532,93941,8.33307E+11,2400,77359792
349,02/11/2016,8,525253,2747688779,37325,6.29768E+11,1836,32426392
350,21/07/2020,3,69176,1836619782,44665,6.63366E+11,1978,17461038
351,28/08/2020,5,501088,758041560,56335,1.67563E+11,3435,70600886
352,29/10/2015,11,435811,2640776126,39721,1.53844E+11,3596,93362496
353,10/02/2020,12,406046,1409973575,68908,10945110312,1048,20844171
354,10/04/2017,9,416392,4045936994,38715,2.49406E+11,42,46058152
355,07/03/2017,9,814653,121888219,76831,4.11361E+11,1793,10462140
356,23/11/2019,9,187689,2395988412,39011,7.67474E+11,5267,61181808
357,10/05/2017,1,170368,3690979858,31330,9.59217E+11,5365,23549255
358,06/10/2015,2,621773,4931689261,96406,8.96519E+11,1536,55935109
359,23/04/2018,12,314481,4008180037,75137,9.74268E+11,5101,51770189
360,13/04/2016,7,179709,1350128242,11577,9.46274E+11,411,81573939
361,30/05/2018,11,394296,4810417500,20481,7.20149E+11,1030,41382102
362,23/04/2016,2,784617,176846010,22903,2.5255E+11,5710,31901718
363,16/07/2019,8,756878,3487849390,90727,4.17532E+11,5851,45175516
364,15/03/2018,9,768807,4151836662,83694,6.53379E+11,1893,55485906
365,09/07/2015,3,706183,4808158641,81880,8.85406E+11,875,58809538
366,01/10/2017,7,364958,4705331469,87687,8.8136E+11,4485,14297572
367,07/07/2020,10,941492,2417954148,14692,7.22365E+11,2427,9181916
368,06/02/2020,5,730595,2239820231,81894,5.34008E+11,3845,90411244
369,18/02/2019,3,351562,52515595,29489,88540433701,4764,93479466
370,06/08/2017,12,602013,545878492,42130,5.11391E+11,4396,36153026
371,23/10/2018,12,768892,2654909222,47269,87549619116,1476,46235789
372,03/02/2020,4,84068,3140785526,99205,9.86539E+11,1845,58751268
373,12/06/2017,10,224094,3597446438,52266,6.86793E+11,5437,57707629
374,02/03/2016,8,616452,1958534444,69497,9.60326E+11,1567,78009922
375,17/05/2015,11,940614,3428284258,67343,7.03183E+11,1327,67380042
376,05/10/2020,13,942552,272588070,12940,3.70222E+11,2405,69785528
377,22/08/2016,12,861002,2218544509,40846,2.80724E+11,1899,24074547
378,14/10/2016,1,962502,2826486117,42431,3.62207E+11,22,12408213
379,04/11/2017,9,888079,1406175747,29333,2.62459E+11,5338,21117554
380,21/02/2020,9,450789,2666596417,94470,9.48535E+11,3071,30545123
381,07/08/2019,12,686448,2912657902,62435,3.90024E+11,5611,42995500
